County,Year,Income,Population
Mineral County,2008,46394,950
Custer County,2008,50660,3944
Hinsdale County,2008,50692,818
Denver County,2008,46305,593086
Rio Grande County,2008,37353,11632
San Juan County,2008,40252,571
Archuleta County,2008,51058,12497
Pitkin County,2008,72088,15616
Montrose County,2008,45817,40484
Rio Blanco County,2008,57856,6318
Arapahoe County,2008,59320,554372
Chaffee County,2008,45916,17000
Alamosa County,2008,34681,15441
Crowley County,2008,31603,6498
Adams County,2008,56601,429597
Montezuma County,2008,44860,25150
Huerfano County,2008,31410,7765
Park County,2008,64471,16997
Routt County,2008,63085,22965
Conejos County,2008,30747,7980
Logan County,2008,42163,20718
Eagle County,2008,73482,52019
Dolores County,2008,43760,1954
Ouray County,2008,59725,4588
Yuma County,2008,43560,9620
Cheyenne County,2008,46017,1779
Kiowa County,2008,38581,1272
Boulder County,2008,66760,300452
Lake County,2008,48280,7999
Kit Carson County,2008,39997,8128
Lincoln County,2008,40384,5208
Weld County,2008,55845,248852
Jackson County,2008,40413,1340
Broomfield County,2008,77855,54813
Bent County,2008,33187,6058
Baca County,2008,31963,3782
Gunnison County,2008,46972,15222
Delta County,2008,43621,30834
La Plata County,2008,56427,50633
Morgan County,2008,43246,27540
Jefferson County,2008,66627,533295
San Miguel County,2008,61074,7527
Fremont County,2008,39155,47677
Las Animas County,2008,38876,15901
Las Animas County,2009,36575,16020
Alamosa County,2009,35960,15424
Summit County,2009,65952,27239
Park County,2009,61127,16762
Conejos County,2009,29594,7844
Bent County,2009,30890,6560
Adams County,2009,53779,440994
Weld County,2009,54578,254759
Montezuma County,2009,40859,25368
Lincoln County,2009,37439,5169
Jefferson County,2009,66059,536922
Huerfano County,2009,30176,7558
Larimer County,2009,56281,298382
Moffat County,2009,54615,13980
Clear Creek County,2009,64241,8706
Phillips County,2009,40178,4472
Jackson County,2009,41337,1369
Logan County,2009,39953,20772
Dolores County,2009,43248,1940
Kit Carson County,2009,40677,8402
Archuleta County,2009,46013,12430
San Juan County,2009,38253,555
Rio Blanco County,2009,59017,6534
Gilpin County,2009,59632,5604
Ouray County,2009,59810,4602
Teller County,2009,53928,21685
Gunnison County,2009,45711,15350
Costilla County,2009,24758,3148
Kiowa County,2009,36931,1238
Routt County,2009,64892,23469
Mesa County,2009,52290,146093
Sedgwick County,2009,35336,2326
Morgan County,2009,41441,27850
Yuma County,2009,42813,9734
Mineral County,2009,43172,912
El Paso County,2009,55621,604542
Arapahoe County,2009,56099,565360
Pueblo County,2009,39016,157224
Fremont County,2009,39714,47815
Lake County,2009,43935,8046
Pitkin County,2009,69352,16043
San Miguel County,2009,60115,7558
Garfield County,2009,62716,56298
Rio Grande County,2009,37993,11581
Saguache County,2009,28866,7097
Eagle County,2009,74220,53653
Washington County,2009,40778,4420
Denver County,2009,46693,610345
Grand County,2009,58209,13911
Baca County,2009,32660,3723
Otero County,2009,30373,18670
Hinsdale County,2009,48372,821
Chaffee County,2009,42602,17156
Elbert County,2009,77123,23287
Montrose County,2009,48108,41412
Prowers County,2009,33646,12982
Delta County,2009,41528,31322
La Plata County,2009,56610,51464
Broomfield County,2009,77606,55990
Boulder County,2009,63757,303482
Crowley County,2009,29104,6403
Custer County,2009,45898,4000
Cheyenne County,2009,42026,1746
Douglas County,2009,100447,288225
Park County,2010,66400,16206
Kiowa County,2010,37600,1398
Douglas County,2010,97806,285465
Costilla County,2010,27305,3524
Montezuma County,2010,41074,25535
